ID,Категория,Сценарий,Альтернатива,Дата_создания,Критерий_Заработная плата,Критерий_Карьерный рост,Критерий_Work-life balance,Критерий_Стабильность,Критерий_Престиж,Критерий_Интерес к работе,Критерий_Возможности обучения,Критерий_Рабочая атмосфера,Тревожность,Временное_давление,Важность_решения,Доступность_информации,Опыт_в_области,Финансовые_ресурсы,Социальная_поддержка,Эмоциональное_состояние,Уверенность_в_себе,Склонность_к_риску,Общая_оценка,Индекс_тревожности,Время_на_решение_часы,Уровень_сложности,Влияние_на_будущее,Обратимость_решения,Количество_заинтересованных_сторон,Критерий_Доходность,Критерий_Риск потерь,Критерий_Ликвидность,Критерий_Минимальная сумма,Критерий_Сроки инвестирования,Критерий_Налоговые льготы,Критерий_Инфляционная защита,Критерий_Простота управления,Критерий_Эмоциональная совместимость,Критерий_Финансовая стабильность,Критерий_Общие ценности,Критерий_Семейные планы,Критерий_Взаимная поддержка,Критерий_Физическая привлекательность,Критерий_Социальный статус,Критерий_Готовность к компромиссам,Критерий_Эффективность,Критерий_Стоимость,Критерий_Безопасность,Критерий_Время на выполнение,Критерий_Доступность,Критерий_Побочные эффекты,Критерий_Научная обоснованность,Критерий_Долгосрочные результаты,Критерий_Цена,Критерий_Местоположение,Критерий_Площадь,Критерий_Состояние жилья,Критерий_Инфраструктура,Критерий_Транспортная доступность,Критерий_Экология,Критерий_Безопасность района,Критерий_Бюджет поездки,Критерий_Климат,Критерий_Культурные достопримечательности,Критерий_Языковой барьер,Критерий_Виза и документы,Критерий_Качество сервиса,Критерий_Отзывы туристов,Критерий_Цена товара,Критерий_Качество,Критерий_Бренд,Критерий_Функциональность,Критерий_Дизайн,Критерий_Гарантия,Критерий_Отзывы покупателей,Критерий_Экологичность,Критерий_Общие интересы,Критерий_Время на общение,Критерий_Эмоциональная поддержка,Критерий_Взаимная выгода,Критерий_Надежность людей,Критерий_Позитивное влияние,Критерий_Географическая близость,Критерий_Личный интерес,Критерий_Стоимость занятий,Критерий_Время на хобби,Критерий_Социальные возможности,Критерий_Развитие навыков,Критерий_Физическая нагрузка,Критерий_Творческое самовыражение,Критерий_Практическая польза,Критерий_Духовная значимость,Критерий_Временные затраты,Критерий_Стоимость обучения,Критерий_Социальное принятие,Критерий_Совместимость с убеждениями,Критерий_Долгосрочное развитие,Критерий_Удобство использования,Критерий_Безопасность данных,Критерий_Стоимость услуг,Критерий_Совместимость,Критерий_Скорость работы,Критерий_Техническая поддержка,Критерий_Обновления и развитие,Критерий_Уровень защиты,Критерий_Стоимость решения,Критерий_Надежность системы,Критерий_Простота использования,Критерий_Скорость реагирования,Критерий_Покрытие рисков,Критерий_Репутация провайдера,Критерий_Гибкость условий
1,Карьера и образование,Выбор специальности в университете,Вариант_1,2025-07-01 06:42:47.809212,1.2,3.5,3.0,7.6,7.1,9.0,1.8,4.8,Низкая,Нет,Средняя,Недостаточная,Эксперт,Значительные,Отсутствует,Позитивное,Низкая,Принятие,4.8,9,70.8,8,10,Частично обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Карьера и образование,Выбор специальности в университете,Вариант_2,2025-06-07 06:42:47.811072,7.3,4.1,2.4,9.6,4.0,1.8,1.9,8.6,Высокая,Умеренное,Низкая,Избыточная,Средний,Значительные,Отсутствует,Нейтральное,Низкая,Принятие,5.0,5,139.4,10,6,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Карьера и образование,Выбор специальности в университете,Вариант_3,2024-09-01 06:42:47.811201,1.6,7.0,8.0,9.9,8.7,8.8,4.4,5.1,Средняя,Нет,Высокая,Достаточная,Новичок,Значительные,Слабая,Позитивное,Высокая,Принятие,6.7,2,102.5,3,9,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Карьера и образование,Выбор специальности в университете,Вариант_4,2025-06-05 06:42:47.811262,5.2,3.4,9.3,7.2,3.0,3.9,7.9,1.5,Низкая,Умеренное,Критическая,Достаточная,Новичок,Ограниченные,Сильная,Позитивное,Средняя,Избегание,5.2,8,66.8,8,3,Частично обратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Карьера и образование,Выбор специальности в университете,Вариант_5,2025-04-23 06:42:47.811316,7.7,5.9,7.7,4.9,6.3,4.3,10.0,2.2,Средняя,Нет,Низкая,Недостаточная,Новичок,Значительные,Отсутствует,Позитивное,Средняя,Принятие,6.1,2,64.9,10,8,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Карьера и образование,Смена работы,Вариант_1,2025-08-22 06:42:47.811422,7.1,2.0,9.0,7.8,7.9,4.1,3.6,2.4,Низкая,Высокое,Высокая,Избыточная,Новичок,Значительные,Отсутствует,Позитивное,Средняя,Принятие,5.5,9,102.5,3,6,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Карьера и образование,Смена работы,Вариант_2,2024-10-25 06:42:47.811563,3.9,1.2,9.4,8.9,8.5,3.8,1.5,8.9,Низкая,Нет,Критическая,Недостаточная,Эксперт,Ограниченные,Отсутствует,Позитивное,Средняя,Принятие,5.8,3,44.9,10,7,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Карьера и образование,Смена работы,Вариант_3,2024-08-27 06:42:47.811618,3.8,10.0,6.8,4.9,5.7,2.1,3.0,4.0,Высокая,Высокое,Средняя,Избыточная,Новичок,Ограниченные,Отсутствует,Позитивное,Высокая,Избегание,5.0,4,11.8,1,6,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Карьера и образование,Смена работы,Вариант_4,2025-04-07 06:42:47.811669,7.0,2.9,2.2,9.4,6.1,5.3,8.1,8.3,Низкая,Нет,Низкая,Избыточная,Средний,Умеренные,Слабая,Нейтральное,Средняя,Принятие,6.2,1,113.3,2,1,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Карьера и образование,Смена работы,Вариант_5,2025-07-03 06:42:47.811717,3.2,2.7,5.0,4.8,3.5,3.2,9.3,5.0,Высокая,Нет,Низкая,Избыточная,Эксперт,Ограниченные,Отсутствует,Негативное,Низкая,Нейтральная,4.6,8,81.1,7,1,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
